Location,Admission Condition,Admission Type,Date,Age,Count,MY
Angus,Asthma,Elective,2015,Middle,1,31/01/2015
Angus,Asthma,Elective,2015,Old,27,28/02/2015
Angus,Asthma,Elective,2015,Young,,31/03/2015
Angus,Asthma,Elective,2016,Middle,39,30/04/2015
Angus,Asthma,Elective,2016,Old,30,31/05/2015
Angus,Asthma,Elective,2016,Young,23,30/06/2015
Angus,Asthma,Non-Elective,2015,Middle,37,31/07/2015
Angus,Asthma,Non-Elective,2015,Old,12,31/08/2015
Angus,Asthma,Non-Elective,2015,Young,15,30/09/2015
Angus,Asthma,Non-Elective,2016,Middle,35,31/10/2015
Angus,Asthma,Non-Elective,2016,Old,1,30/11/2015
Angus,Asthma,Non-Elective,2016,Young,27,31/12/2015
Angus,COPD,Elective,2015,Middle,39,31/01/2015
Angus,COPD,Elective,2015,Old,30,28/02/2015
Angus,COPD,Elective,2015,Young,22,31/03/2015
Angus,COPD,Elective,2016,Middle,41,30/04/2015
Angus,COPD,Elective,2016,Old,42,31/05/2015
Angus,COPD,Elective,2016,Young,26,30/06/2015
Angus,COPD,Non-Elective,2015,Middle,21,31/07/2015
Angus,COPD,Non-Elective,2015,Old,49,31/08/2015
Angus,COPD,Non-Elective,2015,Young,23,30/09/2015
Angus,COPD,Non-Elective,2016,Middle,4,31/10/2015
Angus,COPD,Non-Elective,2016,Old,47,30/11/2015
Angus,COPD,Non-Elective,2016,Young,14,31/12/2015
Fife,Asthma,Elective,2015,Middle,49,31/01/2015
Fife,Asthma,Elective,2015,Old,42,28/02/2015
Fife,Asthma,Elective,2015,Young,50,31/03/2015
Fife,Asthma,Elective,2016,Middle,37,30/04/2015
Fife,Asthma,Elective,2016,Old,5,31/05/2015
Fife,Asthma,Elective,2016,Young,17,30/06/2015
Fife,Asthma,Non-Elective,2015,Middle,22,31/07/2015
Fife,Asthma,Non-Elective,2015,Old,29,31/08/2015
Fife,Asthma,Non-Elective,2015,Young,4,30/09/2015
Fife,Asthma,Non-Elective,2016,Middle,1,31/10/2015
Fife,Asthma,Non-Elective,2016,Old,19,30/11/2015
Fife,Asthma,Non-Elective,2016,Young,37,31/12/2015
Fife,COPD,Elective,2015,Middle,37,31/01/2015
Fife,COPD,Elective,2015,Old,2,28/02/2015
Fife,COPD,Elective,2015,Young,22,31/03/2015
Fife,COPD,Elective,2016,Middle,3,30/04/2015
Fife,COPD,Elective,2016,Old,2,31/05/2015
Fife,COPD,Elective,2016,Young,3,30/06/2015
Fife,COPD,Non-Elective,2015,Middle,13,31/07/2015
Fife,COPD,Non-Elective,2015,Old,14,31/08/2015
Fife,COPD,Non-Elective,2015,Young,41,30/09/2015
Fife,COPD,Non-Elective,2016,Middle,2,31/10/2015
Fife,COPD,Non-Elective,2016,Old,9,30/11/2015
Fife,COPD,Non-Elective,2016,Young,3,31/12/2015
