quarter_date,hb_code,hb_name,loc_code,loc_name,measure,stays,los,avlos,sex,age
2018-12-31,S08000015,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,Elective Inpatients,0,0,,Female,20-29
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,20,27,1.35,Female,0-9
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,28,35,1.25,Female,0-9
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,20,21,1.05,Female,0-9
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,20,22,1.1,Female,0-9
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,28,35,1.25,Female,10-19
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,37,48,1.2972972972973,Female,10-19
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,37,49,1.32432432432432,Female,10-19
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,24,31,1.29166666666667,Female,10-19
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,37,54,1.45945945945946,Female,20-29
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,29,142,4.89655172413793,Female,20-29
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,24,53,2.20833333333333,Female,20-29
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,30,45,1.5,Female,20-29
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,37,84,2.27027027027027,Female,30-39
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,47,100,2.12765957446809,Female,30-39
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,32,44,1.375,Female,30-39
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,35,43,1.22857142857143,Female,30-39
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,62,166,2.67741935483871,Female,40-49
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,70,172,2.45714285714286,Female,40-49
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,65,186,2.86153846153846,Female,40-49
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,71,154,2.16901408450704,Female,40-49
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,124,354,2.85483870967742,Female,50-59
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,147,508,3.45578231292517,Female,50-59
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,125,379,3.032,Female,50-59
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,109,272,2.4954128440367,Female,50-59
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,158,478,3.0253164556962,Female,60-69
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,175,602,3.44,Female,60-69
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,159,534,3.35849056603774,Female,60-69
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,180,1172,6.51111111111111,Female,60-69
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,151,697,4.6158940397351,Female,70-79
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,174,655,3.76436781609195,Female,70-79
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,190,685,3.60526315789474,Female,70-79
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,178,926,5.20224719101124,Female,70-79
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,66,280,4.24242424242424,Female,80-89
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,63,230,3.65079365079365,Female,80-89
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,84,263,3.13095238095238,Female,80-89
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,81,396,4.88888888888889,Female,80-89
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,5,11,2.2,Female,90+
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,0,11,,Female,90+
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,5,5,1,Female,90+
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,5,7,1.4,Female,90+
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,20,25,1.25,Male,0-9
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,20,26,1.3,Male,0-9
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,33,36,1.09090909090909,Male,0-9
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,21,25,1.19047619047619,Male,0-9
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,15,27,1.8,Male,10-19
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,20,20,1,Male,10-19
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,15,12,0.8,Male,10-19
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,20,26,1.3,Male,10-19
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,20,63,3.15,Male,20-29
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,21,30,1.42857142857143,Male,20-29
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,20,35,1.75,Male,20-29
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,21,59,2.80952380952381,Male,20-29
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,22,47,2.13636363636364,Male,30-39
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,23,58,2.52173913043478,Male,30-39
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,31,89,2.87096774193548,Male,30-39
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,28,65,2.32142857142857,Male,30-39
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,39,110,2.82051282051282,Male,40-49
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,45,135,3,Male,40-49
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,52,104,2,Male,40-49
2018-12-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,52,201,3.86538461538462,Male,40-49
2018-03-31,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,98,326,3.3265306122449,Male,50-59
2018-06-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,91,347,3.81318681318681,Male,50-59
2018-09-30,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,102,259,2.53921568627451,Male,50-59
