age,hb_name,hb_code,measure,sex,quarter_date,los,stays,avlos
10-19,NHS Ayrshire & Arran,S08000015,Elective Inpatients,A,2018-10-01,3.0,3.0,1.0
80-89,NHS Lanarkshire,S08000023,All Daycases,B,2018-04-01,76.0,70.0,1.09
20-29,NHS Tayside,S08000030,Emergency Inpatients,A,2018-04-01,42.0,20.0,2.1
10-19,NHS Lothian,S08000024,Emergency Inpatients,B,2018-07-01,25.0,24.0,1.04
50-59,NHS Tayside,S08000030,All Daycases,A,2018-07-01,49.0,49.0,1.0
60-69,NHS Lanarkshire,S08000023,Emergency Inpatients,A,2018-10-01,325.0,136.0,2.39
80-89,NHS Grampian,S08000020,All Daycases,B,2019-01-01,46.0,45.0,1.02
70-79,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2019-01-01,141.0,79.0,1.78
60-69,NHS Lothian,S08000024,Emergency Inpatients,B,2018-10-01,444.0,153.0,2.9
80-89,NHS Forth Valley,S08000019,All Daycases,B,2018-10-01,23.0,21.0,1.1
40-49,NHS Orkney,S08000025,All Daycases,B,2019-01-01,2.0,2.0,1.0
90+,NHS Tayside,S08000030,Elective Inpatients,B,2019-01-01,14.0,3.0,4.67
30-39,NHS Forth Valley,S08000019,All Daycases,B,2018-04-01,11.0,11.0,1.0
60-69,NHS Highland,S08000022,Emergency Inpatients,B,2018-10-01,125.0,51.0,2.45
10-19,NHS Orkney,S08000025,Emergency Inpatients,B,2018-04-01,1.0,1.0,1.0
60-69,NHS Greater Glasgow & Clyde,S08000021,All Daycases,B,2018-04-01,283.0,267.0,1.06
80-89,NHS Greater Glasgow & Clyde,S08000021,All Daycases,B,2018-07-01,177.0,176.0,1.01
40-49,NHS Lanarkshire,S08000023,Emergency Inpatients,B,2018-10-01,105.0,71.0,1.48
20-29,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2018-04-01,131.0,103.0,1.27
20-29,NHS Highland,S08000022,Emergency Inpatients,A,2018-10-01,25.0,16.0,1.56
70-79,NHS Lanarkshire,S08000023,All Daycases,A,2018-10-01,122.0,115.0,1.06
60-69,NHS Highland,S08000022,Emergency Inpatients,A,2018-04-01,159.0,50.0,3.18
60-69,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2018-10-01,86.0,84.0,1.02
70-79,NHS Lanarkshire,S08000023,Elective Inpatients,A,2018-07-01,62.0,35.0,1.77
80-89,NHS Fife,S08000029,Elective Inpatients,B,2018-07-01,28.0,9.0,3.11
40-49,NHS Lothian,S08000024,Elective Inpatients,A,2019-01-01,23.0,19.0,1.21
20-29,NHS Tayside,S08000030,Elective Inpatients,A,2018-07-01,6.0,6.0,1.0
40-49,NHS Shetland,S08000026,Emergency Inpatients,A,2018-04-01,4.0,3.0,1.33
90+,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2018-07-01,435.0,45.0,9.67
40-49,NHS Tayside,S08000030,All Daycases,A,2018-07-01,28.0,27.0,1.04
90+,NHS Highland,S08000022,All Daycases,A,2019-01-01,6.0,6.0,1.0
10-19,NHS Fife,S08000029,Elective Inpatients,B,2018-04-01,2.0,2.0,1.0
40-49,NHS Ayrshire & Arran,S08000015,Elective Inpatients,B,2018-07-01,10.0,10.0,1.0
