PaidDateMonth,HB2014Name,GPPracticeName,BNFItemCode,BNFItemDescription,NumberOfPaidItems
2019-08-01,NHS Forth Valley,HEALTH CENTRE PRACTICE 2,21480000100,FREESTYLE LIBRE SENSOR KIT,30
2019-08-01,NHS Forth Valley,HEALTH CENTRE PRACTICE 2,0208020Y0BBACAC,XARELTO_TAB 20MG,43
2019-08-01,NHS Forth Valley,HEALTH CENTRE PRACTICE 2,0208020Z0BBABAB,ELIQUIS_TAB 5MG,6
2019-08-01,NHS Forth Valley,HEALTH CENTRE PRACTICE 2,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,7
2019-08-01,NHS Forth Valley,HEALTH CENTRE PRACTICE 2,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,45
2019-08-01,NHS Forth Valley,THE WHINS MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,25
2019-08-01,NHS Forth Valley,THE WHINS MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,5
2019-08-01,NHS Forth Valley,THE WHINS MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,35
2019-08-01,NHS Forth Valley,THE WHINS MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,17
2019-08-01,NHS Forth Valley,ALVA MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,96
2019-08-01,NHS Forth Valley,ALVA MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,13
2019-08-01,NHS Forth Valley,ALVA MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,7
2019-08-01,NHS Forth Valley,ALVA MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,27
2019-08-01,NHS Forth Valley,FORTHVIEW PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,17
2019-08-01,NHS Forth Valley,ALVA MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,48
2019-08-01,NHS Forth Valley,BALFRON HEALTH CENTRE,0208020Y0BBACAC,XARELTO_TAB 20MG,13
2019-08-01,NHS Forth Valley,BALFRON HEALTH CENTRE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,3
2019-08-01,NHS Forth Valley,BALFRON HEALTH CENTRE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,5
2019-08-01,NHS Forth Valley,BALFRON HEALTH CENTRE,21480000100,FREESTYLE LIBRE SENSOR KIT,11
2019-08-01,NHS Forth Valley,EDENKILN SURGERY,0208020Y0BBACAC,XARELTO_TAB 20MG,5
2019-08-01,NHS Forth Valley,EDENKILN SURGERY,0208020Z0BBABAB,ELIQUIS_TAB 5MG,15
2019-08-01,NHS Forth Valley,EDENKILN SURGERY,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,2
2019-08-01,NHS Forth Valley,EDENKILN SURGERY,21480000100,FREESTYLE LIBRE SENSOR KIT,8
2019-08-01,NHS Forth Valley,FORTHVIEW PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,25
2019-08-01,NHS Forth Valley,FORTHVIEW PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,3
2019-08-01,NHS Forth Valley,FORTHVIEW PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,22
2019-08-01,NHS Forth Valley,THE RICHMOND PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,21
2019-08-01,NHS Forth Valley,THE RICHMOND PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,14
2019-08-01,NHS Forth Valley,THE RICHMOND PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,12
2019-08-01,NHS Forth Valley,THE RICHMOND PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,24
2019-08-01,NHS Forth Valley,KINGLASS MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,10
2019-08-01,NHS Forth Valley,KINGLASS MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,2
2019-08-01,NHS Forth Valley,KINGLASS MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,2
2019-08-01,NHS Forth Valley,KINGLASS MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,10
2019-08-01,NHS Forth Valley,KINGLASS MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,4
2019-08-01,NHS Forth Valley,BRIDGE OF ALLAN HEALTH CENTRE,0208020Y0BBACAC,XARELTO_TAB 20MG,44
2019-08-01,NHS Forth Valley,BRIDGE OF ALLAN HEALTH CENTRE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,6
2019-08-01,NHS Forth Valley,BRIDGE OF ALLAN HEALTH CENTRE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,25
2019-08-01,NHS Forth Valley,BRIDGE OF ALLAN HEALTH CENTRE,21480000100,FREESTYLE LIBRE SENSOR KIT,19
2019-08-01,NHS Forth Valley,CALLANDER MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,7
2019-08-01,NHS Forth Valley,CALLANDER MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,5
2019-08-01,NHS Forth Valley,CALLANDER MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,2
2019-08-01,NHS Forth Valley,CALLANDER MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,9
2019-08-01,NHS Grampian,GARTHDEE MEDICAL GROUP,0208020Y0BBACAC,XARELTO_TAB 20MG,39
2019-08-01,NHS Grampian,GARTHDEE MEDICAL GROUP,0208020Y0BBACAC,XARELTO_TAB 20MG,3
2019-08-01,NHS Grampian,GARTHDEE MEDICAL GROUP,0208020Z0BBABAB,ELIQUIS_TAB 5MG,13
2019-08-01,NHS Grampian,GARTHDEE MEDICAL GROUP,0208020Z0BBABAB,ELIQUIS_TAB 5MG,1
2019-08-01,NHS Grampian,GARTHDEE MEDICAL GROUP,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,35
2019-08-01,NHS Grampian,GARTHDEE MEDICAL GROUP,21480000100,FREESTYLE LIBRE SENSOR KIT,4
2019-08-01,NHS Grampian,HOLBURN MEDICAL GROUP,0208020Y0BBACAC,XARELTO_TAB 20MG,46
2019-08-01,NHS Grampian,HOLBURN MEDICAL GROUP,0208020Z0BBABAB,ELIQUIS_TAB 5MG,12
2019-08-01,NHS Grampian,HOLBURN MEDICAL GROUP,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,32
2019-08-01,NHS Grampian,HOLBURN MEDICAL GROUP,21480000100,FREESTYLE LIBRE SENSOR KIT,11
2019-08-01,NHS Grampian,DENBURN MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,36
