HB2014Name,GPPracticeName,HB2014,BNFItemDescription,BNFItemCode,PaidDateMonth,NumberOfPaidItems
NHS Greater Glasgow and Clyde,KESSINGTON MEDICAL CENTRE,S08000031,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,27
NHS Greater Glasgow and Clyde,KESSINGTON MEDICAL CENTRE,S08000031,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,32
NHS Greater Glasgow and Clyde,KESSINGTON MEDICAL CENTRE,S08000031,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,30
NHS Greater Glasgow and Clyde,KESSINGTON MEDICAL CENTRE,S08000031,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,28
NHS Greater Glasgow and Clyde,KESSINGTON MEDICAL CENTRE,S08000031,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,31
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,16
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,16
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,16
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,18
NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,S08000024,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,18
NHS Highland,DUNBEATH SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,32
NHS Highland,DUNBEATH SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,33
NHS Highland,DUNBEATH SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,31
NHS Highland,DUNBEATH SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,29
NHS Highland,DUNBEATH SURGERY,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,31
NHS Greater Glasgow and Clyde,KESSINGTON MEDICAL CENTRE,S08000031,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,29
NHS Greater Glasgow and Clyde,KESSINGTON MEDICAL CENTRE,S08000031,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,27
NHS Greater Glasgow and Clyde,KESSINGTON MEDICAL CENTRE,S08000031,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,28
NHS Greater Glasgow and Clyde,KESSINGTON MEDICAL CENTRE,S08000031,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,32
NHS Greater Glasgow and Clyde,KESSINGTON MEDICAL CENTRE,S08000031,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,33
NHS Grampian,ELMBANK GROUP PRACTICE,S08000020,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,30
NHS Grampian,ELMBANK GROUP PRACTICE,S08000020,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,31
NHS Grampian,ELMBANK GROUP PRACTICE,S08000020,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,32
NHS Grampian,ELMBANK GROUP PRACTICE,S08000020,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,27
NHS Grampian,ELMBANK GROUP PRACTICE,S08000020,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,33
NHS Lanarkshire,DRS TIERNEY & CANNING,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,16
NHS Lanarkshire,DRS TIERNEY & CANNING,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,16
NHS Lanarkshire,DRS TIERNEY & CANNING,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,18
NHS Lanarkshire,DRS TIERNEY & CANNING,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Lanarkshire,DRS TIERNEY & CANNING,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,18
NHS Grampian,DENBURN MEDICAL PRACTICE,S08000020,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,16
NHS Grampian,DENBURN MEDICAL PRACTICE,S08000020,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,18
NHS Grampian,DENBURN MEDICAL PRACTICE,S08000020,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,18
NHS Grampian,DENBURN MEDICAL PRACTICE,S08000020,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,16
NHS Grampian,DENBURN MEDICAL PRACTICE,S08000020,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,18
NHS Tayside,THE ABBEY PRACTICE,S08000030,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
