hb_name,hb_code,loc_name,loc_code,measure,sex,age,quarter_date,avlos,los,stays
Finsteraarhorn,Finsteraarhorn,Red-throated Loon,Gavia stellata,Elective Inpatients,Male,90+,2018-04-01,21,369,34
Finsteraarhorn,Finsteraarhorn,Red-throated Loon,Gavia stellata,Elective Inpatients,Male,90+,2018-07-01,24,384,31
Finsteraarhorn,Finsteraarhorn,Red-throated Loon,Gavia stellata,Elective Inpatients,Male,90+,2018-10-01,24,428,34
Grandes Jorasses,Grandes Jorasses,Western Grebe,Aechmophorus occidentalis,Emergency Inpatients,Female,0-9,2018-04-01,3,461,275
Grandes Jorasses,Grandes Jorasses,Western Grebe,Aechmophorus occidentalis,Emergency Inpatients,Female,0-9,2018-07-01,7,487,235
Grandes Jorasses,Grandes Jorasses,Western Grebe,Aechmophorus occidentalis,Emergency Inpatients,Female,0-9,2018-10-01,2,489,272
Finsteraarhorn,Finsteraarhorn,Clark's Grebe,Aechmophorus clarkii,Emergency Inpatients,Male,10-19,2018-04-01,1,346,146
Finsteraarhorn,Finsteraarhorn,Clark's Grebe,Aechmophorus clarkii,Emergency Inpatients,Male,10-19,2018-07-01,4,318,147
Finsteraarhorn,Finsteraarhorn,Clark's Grebe,Aechmophorus clarkii,Emergency Inpatients,Male,10-19,2018-10-01,4,317,134
Finsteraarhorn,Finsteraarhorn,Shy Albatross,Thalassarche cauta,Emergency Inpatients,Male,70-79,2018-04-01,38,9111,1011
Finsteraarhorn,Finsteraarhorn,Shy Albatross,Thalassarche cauta,Emergency Inpatients,Male,70-79,2018-07-01,40,10025,1076
Finsteraarhorn,Finsteraarhorn,Shy Albatross,Thalassarche cauta,Emergency Inpatients,Male,70-79,2018-10-01,38,9256,1176
Grand Combin,Grand Combin,Horned Grebe,Podiceps auritus,Emergency Inpatients,Female,10-19,2018-04-01,16,2542,1125
Grand Combin,Grand Combin,Horned Grebe,Podiceps auritus,Emergency Inpatients,Female,10-19,2018-07-01,16,2532,1122
Grand Combin,Grand Combin,Horned Grebe,Podiceps auritus,Emergency Inpatients,Female,10-19,2018-10-01,17,2518,1025
Grandes Jorasses,Grandes Jorasses,Flesh-footed Shearwater,Puffinus carneipes,Emergency Inpatients,Female,50-59,2018-04-01,20,9332,2393
Grandes Jorasses,Grandes Jorasses,Flesh-footed Shearwater,Puffinus carneipes,Emergency Inpatients,Female,50-59,2018-07-01,19,11085,2301
Grandes Jorasses,Grandes Jorasses,Flesh-footed Shearwater,Puffinus carneipes,Emergency Inpatients,Female,50-59,2018-10-01,20,10661,2566
Grand Combin,Grand Combin,Pied-billed Grebe,Podilymbus podiceps,All Daycases,Male,20-29,2018-04-01,8,9,1819
Grand Combin,Grand Combin,Pied-billed Grebe,Podilymbus podiceps,All Daycases,Male,20-29,2018-07-01,9,2,1639
Grand Combin,Grand Combin,Pied-billed Grebe,Podilymbus podiceps,All Daycases,Male,20-29,2018-10-01,5,9,1756
Dykh-Tau,Dykh-Tau,Ashy Storm-Petrel,Oceanodroma homochroa,All Daycases,Female,30-39,2018-04-01,9,5,33
Dykh-Tau,Dykh-Tau,Ashy Storm-Petrel,Oceanodroma homochroa,All Daycases,Female,30-39,2018-07-01,1,7,34
Dykh-Tau,Dykh-Tau,Ashy Storm-Petrel,Oceanodroma homochroa,All Daycases,Female,30-39,2018-10-01,8,5,35
Shkhara,Shkhara,Flesh-footed Shearwater,Puffinus carneipes,All Daycases,Male,70-79,2018-04-01,8,17,1079
Shkhara,Shkhara,Flesh-footed Shearwater,Puffinus carneipes,All Daycases,Male,70-79,2018-07-01,6,18,1239
Shkhara,Shkhara,Flesh-footed Shearwater,Puffinus carneipes,All Daycases,Male,70-79,2018-10-01,0,17,1191
Grand Combin,Grand Combin,Wandering Albatross,Diomedea exulans,All Daycases,Male,0-9,2018-04-01,0,1,501
Grand Combin,Grand Combin,Wandering Albatross,Diomedea exulans,All Daycases,Male,0-9,2018-07-01,2,5,533
