quarter_date,hb_code,hb_name,loc_code,loc_name,measure,eps,los,avlos
31/12/2013,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,960,3095,3.223958333
31/03/2014,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,951,2940,3.09148265
30/06/2014,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,931,2900,3.114930183
30/09/2014,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,998,2930,2.935871743
31/12/2014,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,1045,3305,3.162679426
31/03/2015,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,925,2510,2.713513514
30/06/2015,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,897,2330,2.59754738
30/09/2015,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,869,2475,2.848101266
31/12/2015,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,835,2755,3.299401198
31/03/2016,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,802,2205,2.749376559
30/06/2016,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,790,2345,2.96835443
30/09/2016,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,756,2285,3.022486772
31/12/2016,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,724,2175,3.004143646
31/03/2017,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,764,2095,2.742146597
30/06/2017,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,741,2190,2.955465587
30/09/2017,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,735,2390,3.25170068
31/12/2017,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,763,2370,3.106159895
31/03/2018,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,683,2125,3.111273792
30/06/2018,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,704,1865,2.649147727
30/09/2018,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,655,1685,2.572519084
31/12/2018,S08000015,NHS Ayrshire & Arran,S12000008,East Ayrshire,Elective Inpatients,695,1865,2.683453237
31/12/2013,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,3057,9777,3.198233562
31/03/2014,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,3127,9647,3.085065558
30/06/2014,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,3112,10425,3.349935733
30/09/2014,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,3056,9198,3.009816754
31/12/2014,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,3224,10674,3.310794045
31/03/2015,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2962,8691,2.934166104
30/06/2015,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2909,8240,2.832588518
30/09/2015,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2799,7836,2.799571275
31/12/2015,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2758,8537,3.095358956
31/03/2016,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2539,7429,2.9259551
30/06/2016,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2602,7664,2.945426595
30/09/2016,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2478,7234,2.91928975
31/12/2016,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2506,7600,3.032721468
31/03/2017,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2450,6921,2.824897959
30/06/2017,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2433,7002,2.877928483
30/09/2017,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2396,6915,2.8860601
31/12/2017,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2360,7190,3.046610169
31/03/2018,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2185,5977,2.735469108
